Cota;Afluencia;Defluencia;VazaoNatural;VazaoIncremental;VolumeUtil
736,32;0;95,81;22,32;0;95,81
736,37;0;96,51;23,28;0;96,51
736,4;0;96,92;23,71;0;96,92
736,36;0;96,37;26,3;0;96,37
736,35;0;96,23;32,96;0;96,23
736,31;0;95,67;42,86;0;95,67
736,28;0;95,25;18,45;0;95,25
736,25;0;94,84;13,55;0;94,84
736,24;0;94,7;15,08;0;94,7
736,24;0;94,7;13,84;0;94,7
736,25;0;94,84;14,34;0;94,84
736,25;0;94,84;14,9;0;94,84
736,25;0;94,84;14,24;0;94,84
736,26;0;94,97;12,43;0;94,97
736,27;0;95,12;12,09;0;95,12
736,25;0;94,84;11,15;0;94,84
736,24;0;94,7;9,07;0;94,7
736,22;0;94,42;8,87;0;94,42
736,19;0;94;10,95;0;94
736,19;0;94;11,48;0;94
736,2;0;94,14;15;0;94,14
736,2;0;94,14;13,14;0;94,14
736,33;0;95,95;52,64;0;95,95
736,32;0;95,81;8,65;0;95,81
736,39;0;96,79;19,19;0;96,79
736,38;0;96,64;15,42;0;96,64
736,32;0;95,81;14,66;0;95,81
736,26;0;94,97;12,01;0;94,97
736,2;0;94,14;10,32;0;94,14
736,18;0;93,86;10,5;0;93,86
736,14;0;93,31;10,61;0;93,31
736,17;0;93,73;10,99;0;93,73
736,17;0;93,73;12,84;0;93,73
736,17;0;93,73;13,77;0;93,73
736,16;0;93,59;16,82;0;93,59
736,15;0;93,45;17,42;0;93,45
736,2;0;94,14;19,27;0;94,14
736,19;0;94;10,54;0;94
736,23;0;94,56;66,05;0;94,56
736,19;0;94;46,16;0;94
736,14;0;93,31;44,26;0;93,31
736,09;0;92,62;63,37;0;92,62
736,04;0;91,92;47,08;0;91,92
735,99;0;91,23;34,29;0;91,23
735,94;0;90,54;39,99;0;90,54
735,9;0;89,98;27,4;0;89,98
735,85;0;89,3;29,31;0;89,3
735,84;0;89,16;43,02;0;89,16
735,9;0;89,98;41,02;0;89,98
735,88;0;89,71;29,53;0;89,71
735,83;0;89,02;26,83;0;89,02
735,97;0;90,95;73,94;0;90,95
736,06;0;92,2;73,15;0;92,2
736,01;0;91,51;51,25;0;91,51
735,96;0;90,81;46,25;0;90,81
735,91;0;90,13;25,86;0;90,13
735,86;0;89,43;23,13;0;89,43
735,83;0;89,02;28,36;0;89,02
735,93;0;90,4;37,77;0;90,4
735,91;0;90,13;7,97;0;90,13
